,cet_cest_timestamp,DE_KN_residential5_dishwasher,DE_KN_residential5_grid_import,DE_KN_residential5_refrigerator,DE_KN_residential5_washing_machine
12518,2016-05-16T09:00:00+0200,146.65,1639.774,180.537,123.374
12519,2016-05-16T10:00:00+0200,146.65,1639.869,180.567,123.374
12520,2016-05-16T11:00:00+0200,146.651,1639.969,180.608,123.374
12521,2016-05-16T12:00:00+0200,146.651,1640.0639999999999,180.64,123.374
12522,2016-05-16T13:00:00+0200,146.651,1640.149,180.65900000000002,123.374
12523,2016-05-16T14:00:00+0200,146.651,1640.269,180.71400000000003,123.374
12524,2016-05-16T15:00:00+0200,146.651,1640.3339999999998,180.715,123.374
12525,2016-05-16T16:00:00+0200,146.651,1640.474,180.791,123.374
12526,2016-05-16T17:00:00+0200,146.651,1640.539,180.792,123.374
12527,2016-05-16T18:00:00+0200,146.651,1640.664,180.84900000000002,123.374
12528,2016-05-16T19:00:00+0200,146.651,1640.739,180.86700000000002,123.374
12529,2016-05-16T20:00:00+0200,146.65200000000002,1640.8339999999998,180.896,123.374
12530,2016-05-16T21:00:00+0200,146.65200000000002,1640.944,180.94099999999997,123.374
12531,2016-05-16T22:00:00+0200,146.65200000000002,1641.009,180.942,123.374
12532,2016-05-16T23:00:00+0200,146.65200000000002,1641.149,181.015,123.374
12533,2016-05-17T00:00:00+0200,146.65200000000002,1641.2089999999998,181.016,123.374
12534,2016-05-17T01:00:00+0200,146.65200000000002,1641.344,181.084,123.374
12535,2016-05-17T02:00:00+0200,146.65200000000002,1641.414,181.08900000000003,123.374
12536,2016-05-17T03:00:00+0200,146.65200000000002,1641.514,181.125,123.374
12537,2016-05-17T04:00:00+0200,146.65200000000002,1641.619,181.162,123.374
12538,2016-05-17T05:00:00+0200,146.653,1641.6889999999999,181.17,123.374
12539,2016-05-17T06:00:00+0200,146.653,1641.819,181.234,123.374
12540,2016-05-17T07:00:00+0200,146.653,1641.879,181.234,123.374
12541,2016-05-17T08:00:00+0200,146.653,1642.004,181.296,123.374
12542,2016-05-17T09:00:00+0200,146.653,1642.079,181.304,123.374
12543,2016-05-17T10:00:00+0200,146.653,1642.184,181.34799999999998,123.374
12544,2016-05-17T11:00:00+0200,146.653,1642.274,181.373,123.374
12545,2016-05-17T12:00:00+0200,146.653,1642.369,181.40200000000002,123.374
12546,2016-05-17T13:00:00+0200,146.653,1642.469,181.442,123.374
12547,2016-05-17T14:00:00+0200,146.654,1642.5639999999999,181.46900000000002,123.374
12548,2016-05-17T15:00:00+0200,146.654,1642.6689999999999,181.51,123.374
12549,2016-05-17T16:00:00+0200,146.654,1642.759,181.53400000000002,123.374
12550,2016-05-17T17:00:00+0200,146.654,1642.854,181.56400000000002,123.374
12551,2016-05-17T18:00:00+0200,146.654,1642.954,181.602,123.374
12552,2016-05-17T19:00:00+0200,146.654,1643.0339999999999,181.61599999999999,123.374
12553,2016-05-17T20:00:00+0200,146.654,1643.154,181.671,123.374
12554,2016-05-17T21:00:00+0200,146.654,1643.239,181.69,123.374
12555,2016-05-17T22:00:00+0200,146.654,1643.3339999999998,181.726,123.374
12556,2016-05-17T23:00:00+0200,146.655,1643.4389999999999,181.762,123.374
12557,2016-05-18T00:00:00+0200,146.655,1643.514,181.77700000000002,123.374
12558,2016-05-18T01:00:00+0200,146.655,1643.639,181.833,123.374
12559,2016-05-18T02:00:00+0200,146.655,1643.704,181.834,123.374
12560,2016-05-18T03:00:00+0200,146.655,1643.839,181.907,123.374
12561,2016-05-18T04:00:00+0200,146.655,1643.904,181.907,123.374
12562,2016-05-18T05:00:00+0200,146.655,1644.024,181.965,123.374
12563,2016-05-18T06:00:00+0200,146.655,1644.109,181.98,123.374
12564,2016-05-18T07:00:00+0200,146.655,1644.184,181.998,123.374
12565,2016-05-18T08:00:00+0200,146.656,1644.309,182.054,123.374
12566,2016-05-18T09:00:00+0200,146.656,1644.369,182.054,123.374
12567,2016-05-18T10:00:00+0200,146.656,1644.504,182.127,123.374
12568,2016-05-18T11:00:00+0200,146.656,1644.569,182.192,123.374
12569,2016-05-18T12:00:00+0200,146.656,1644.6889999999999,182.209,123.374
