,cet_cest_timestamp,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine
12491,2016-05-15T06:00:00+0200,66.32600000000001,593.179,91.79,3200.6090000000004,3029.961,2202.481,4564.903,79.706,69.14
12492,2016-05-15T07:00:00+0200,66.32600000000001,593.179,91.815,3201.2009999999996,3029.961,2202.491,4565.668,79.706,69.14
12493,2016-05-15T08:00:00+0200,66.32600000000001,593.179,91.83,3202.442,3029.9709999999995,2202.491,4567.213,79.729,69.14
12494,2016-05-15T09:00:00+0200,66.32600000000001,593.179,91.84700000000001,3204.789,3029.9709999999995,2202.501,4569.763,79.741,69.14
12495,2016-05-15T10:00:00+0200,66.32600000000001,593.179,91.87,3208.84,3029.9709999999995,2202.511,4573.983,79.747,69.14
12496,2016-05-15T11:00:00+0200,66.32600000000001,593.179,91.884,3212.45,3029.9709999999995,2202.511,4577.813,79.77600000000001,69.14
12497,2016-05-15T12:00:00+0200,66.32600000000001,593.179,91.90700000000001,3216.631,3029.9709999999995,2202.521,4582.657,79.77600000000001,69.14
12498,2016-05-15T13:00:00+0200,66.32600000000001,593.18,91.926,3222.159,3029.9709999999995,2202.521,4588.388,79.811,69.14
12499,2016-05-15T14:00:00+0200,66.32600000000001,593.181,91.941,3228.9320000000002,3029.9709999999995,2202.531,4595.667,79.811,69.14
12500,2016-05-15T15:00:00+0200,66.32600000000001,593.182,91.96799999999999,3234.42,3029.9709999999995,2202.541,4601.443,79.846,69.14
12501,2016-05-15T16:00:00+0200,66.327,593.182,91.98299999999999,3238.966,3029.9709999999995,2202.541,4606.298,79.846,69.14
12502,2016-05-15T17:00:00+0200,66.944,593.182,92.001,3242.825,3029.9709999999995,2202.551,4611.083,79.865,69.142
12503,2016-05-15T18:00:00+0200,66.947,593.182,92.023,3247.051,3029.9709999999995,2202.561,4615.603,79.881,69.143
12504,2016-05-15T19:00:00+0200,66.94800000000001,593.183,92.037,3247.59,3030.6440000000002,2202.561,4616.502,79.881,69.63
12505,2016-05-15T20:00:00+0200,66.94800000000001,593.183,92.06299999999999,3247.59,3031.04,2202.571,4616.563,79.915,69.721
12506,2016-05-15T21:00:00+0200,66.94800000000001,593.183,92.079,3247.59,3031.353,2202.576,4616.563,79.915,69.795
12507,2016-05-15T22:00:00+0200,66.94800000000001,593.183,92.095,3247.59,3031.575,2202.581,4616.563,79.949,69.795
12508,2016-05-15T23:00:00+0200,66.94800000000001,593.183,92.12,3247.59,3031.736,2202.591,4616.563,79.949,69.795
12509,2016-05-16T00:00:00+0200,66.94800000000001,593.183,92.135,3247.59,3031.9159999999997,2202.591,4616.563,79.97399999999999,69.795
12510,2016-05-16T01:00:00+0200,66.94800000000001,593.183,92.156,3247.59,3032.091,2202.601,4616.563,79.982,69.795
12511,2016-05-16T02:00:00+0200,66.94800000000001,593.183,92.175,3247.59,3032.2470000000003,2202.611,4616.563,79.986,69.795
12512,2016-05-16T03:00:00+0200,66.94800000000001,593.183,92.19,3247.59,3032.435,2202.611,4616.563,80.014,69.795
12513,2016-05-16T04:00:00+0200,66.94800000000001,593.183,92.21700000000001,3247.59,3032.5959999999995,2202.621,4616.563,80.014,69.795
12514,2016-05-16T05:00:00+0200,66.94800000000001,593.183,92.23100000000001,3247.59,3032.776,2202.621,4616.568,80.046,69.795
12515,2016-05-16T06:00:00+0200,66.94800000000001,593.183,92.249,3247.65,3032.861,2202.631,4616.769,80.046,69.795
12516,2016-05-16T07:00:00+0200,66.94800000000001,593.183,92.272,3247.942,3032.8909999999996,2202.641,4617.263,80.074,69.795
12517,2016-05-16T08:00:00+0200,66.94800000000001,593.183,92.286,3248.844,3032.8909999999996,2202.641,4618.323,80.079,69.795
12518,2016-05-16T09:00:00+0200,66.94800000000001,593.183,92.30799999999999,3250.0559999999996,3032.8909999999996,2202.651,4619.697,80.09,69.795
